Title,Artists,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,cluster_id,cluster_label,style_description
UP IN SMOKE,RIN,0.7243030844971452,0.13120431571256622,-0.036506669034655895,0.3746513551500301,0.018460566087334786,-0.1513962023033052,-0.8598675143450124,1,C1,Danceability
Venice Bitch,Lana Del Rey,-2.351171735417101,-2.2090146311617285,-2.572250693771983,-0.8297199845111625,2.875916704401981,2.6375519991996783,-0.8687121737656666,4,C4,Acousticness
On My Way,"Alan Walker, Sabri Carpenter, Farruko",-1.326013462112352,0.2925987258418274,0.21307984966915366,-0.12069492164610557,-0.8834503684249576,-0.1513962023033052,-0.9350471194205727,0,C0,Loudness
The greatest,Lana Del Rey,-1.805874781531596,-2.581463269921563,-2.392108357958214,-0.7617312798528693,2.985494668408147,0.1637391876970319,-1.381702420163607,4,C4,Acousticness
California,Lana Del Rey,-1.7622510252207557,-1.4392874443914037,-0.8657114667117753,-0.8005819682290368,2.235307068673624,-0.1513962023033052,-1.3861247498739342,4,C4,Acousticness
Fear Inoculum,TOOL,-2.772868046421891,-0.3591863919878832,-1.5615284279466384,-0.703455247288618,-0.9677411099681624,7.916069781705326,-1.5409062897353816,6,C6,Acousticness / Instrumentalness
How to disappear,Lana Del Rey,-1.115165306609957,-2.097280039533778,1.9035334662470593,-0.7714439519469112,1.6115555812539073,-0.13563943280328836,-1.9610276122164536,5,C5,Danceability / Loudness / Valence
Invincible,TOOL,-1.6895447647026884,-0.46471350630316977,-1.2321842338443663,-0.5577651658779899,-0.9298102762737203,12.233424624709944,-0.5281927860704819,2,C2,Acousticness / Instrumentalness
Pneuma,TOOL,-2.009452310982185,-0.694390166871734,-1.302659765985249,-0.8102946403230786,-0.9635265728910022,11.666180922709337,-1.987561590478416,2,C2,Acousticness / Instrumentalness
Secreto,"Anuel AA, KAROL G",0.840633101326053,1.0002511394855138,0.4788241733028242,0.11240920861089951,1.5651956734051446,-0.009585276803153511,0.8736857321032001,7,C7,Danceability / Loudness / Valence
7empest,TOOL,-2.6783499077484034,1.0064586167981777,-0.6353768006903533,-0.7520186077588273,-0.9719556470453227,13.00550633021077,-0.5503044346221173,2,C2,Acousticness / Instrumentalness
Daylight,Taylor Swift,-0.9770234116256289,-0.9054443955023072,-1.3934185000593617,-0.5674778379720318,2.433390311300155,-0.1513962023033052,-1.076561670151039,4,C4,Acousticness
Descending,TOOL,-2.627455525385756,-0.19158450454595743,-1.3827612244673257,-0.625753870536283,-0.9635265728910022,11.965559543209658,-1.1826975831988888,2,C2,Acousticness / Instrumentalness
False God,Taylor Swift,0.346230529803195,-1.9979604025311555,-1.8265851854130808,1.2099411552376313,2.1299436417446174,-0.1513962023033052,-0.6962413150629109,4,C4,Acousticness
Fendi Drip,"Luciano, Ufo361, Lil Baby",0.9860456223621868,0.02567720139727964,-0.1970533690824232,3.7935119322527706,-0.6221490696410223,-0.1513962023033052,0.8957973806548355,3,C3,Danceability / Speechiness / Valence
Happiness is a butterfly,Lana Del Rey,-1.6313797562882346,-3.2456633423766017,1.9038084927139507,-0.7228805914767017,3.1119307807229544,-0.1513962023033052,-1.5585956085766899,4,C4,Acousticness
Legion Inoculant,TOOL,-3.5726369121206307,-3.090476409560004,-4.640793507877799,-0.6646045589124505,-0.9635265728910022,14.691480666712573,-2.1334984709192093,2,C2,Acousticness / Instrumentalness
Litanie contre la Peur,TOOL,-4.496006420700086,-3.8974484602063124,-5.934793034601131,-0.6548918868184086,3.154076151494557,14.912075439712808,-2.084852844105612,2,C2,Acousticness / Instrumentalness
Not 20 Anymore,Bebe Rexha,-0.23541955434134287,-0.5516181886804639,0.2543338197028412,-0.8297199845111625,0.8402952961335826,-0.1513962023033052,-0.475124829546557,1,C1,Danceability
Soon You'll Get Better (feat. The Chicks),Taylor Swift,-1.8785810420496636,-2.8545922716787753,-2.412391559891444,-0.48977646121969676,2.8506294819390194,-0.1513962023033052,-0.38667823534001566,4,C4,Acousticness
The Next Best American Record,Lana Del Rey,-0.8897758990039489,-1.7869061739005827,-1.482802101799018,-0.8005819682290368,1.624199192485388,-0.1513962023033052,-1.7266441375691188,4,C4,Acousticness
Vendetta,RAF Camora,1.0805637610356744,1.4223595967466596,-0.15304913437982318,-0.7520186077588273,-0.8160177751903936,-0.13563943280328836,0.7056372031107716,7,C7,Danceability / Loudness / Valence
Did It Again,Lil Tecca,0.05540548773092568,-0.4150536878018584,-1.5034290868158617,0.4329273877142814,-0.053186564224389325,-0.1513962023033052,-1.2136538911711783,1,C1,Danceability
It's Nice To Have A Friend,Taylor Swift,0.33168927769958156,-2.8980446128674227,-1.499991255979721,-0.7228805914767017,3.120359854877275,-0.1513962023033052,0.16169064874054165,4,C4,Acousticness
Love Me,Lil Tecca,0.1717355045598334,-1.2841005115748056,-1.641973669512329,1.326493220366134,1.8517841946520415,-0.1513962023033052,1.2938070545842724,3,C3,Danceability / Speechiness / Valence
Nummer 1,"Capital Bra, Samra",1.029669378673027,-0.35297891467521925,-0.24174516995225137,1.0545384017329615,1.3123234487755302,-0.1513962023033052,0.6835255545591362,7,C7,Danceability / Loudness / Valence
Ransom (with Juice WRLD) - Remix,Lil Tecca,-0.06092452909798125,0.1560342249632219,-0.30500125733723893,1.569310022717181,-0.92559573919656,-0.1513962023033052,-0.5989500614357152,3,C3,Danceability / Speechiness / Valence
NO HALO,BROCKHAMPTON,-0.35174957117025063,-0.4274686424271863,-0.5105835413384484,-0.4217877565614037,0.7560045545903776,-0.1513962023033052,-0.16998407953398914,1,C1,Danceability
Tap (feat. Meek Mill),V,1.524071950195885,0.21190152077719715,-0.5102397582548344,1.326493220366134,-0.6980107370299068,-0.1513962023033052,-0.2495860143198763,3,C3,Danceability / Speechiness / Valence
Easier,5 Seconds of Summer,-1.355095966319579,-1.3275528527634533,-0.018973731770338693,1.0351130575448777,1.088952983686037,-0.1513962023033052,0.4845207175944178,3,C3,Danceability / Speechiness / Valence
Lost In Japan,Shawn Mendes,0.15719425245621996,0.5967651141623592,-0.4246377704349328,2.521151887933285,0.10275130763053976,-0.1513962023033052,-0.36898891649870735,3,C3,Danceability / Speechiness / Valence
Take Me Back to London (feat. Stormzy),Ed Sheeran,1.4077419333669774,0.7457445696662933,0.012310528838541019,0.9865496970746682,-0.04897202714722907,-0.1513962023033052,0.4270304313601658,7,C7,Danceability / Loudness / Valence
Fuck it I love you,Lana Del Rey,-1.2387659494906713,-1.1723659199468552,-1.7547345209377416,-0.7520186077588273,2.8295567965532182,-0.13563943280328836,-1.3640131013222987,4,C4,Acousticness
My Type,Saweetie,1.5095306980922716,1.049910957986825,-0.256184059464042,1.3944819250244271,-0.9677411099681624,-0.1513962023033052,0.3474284965742784,3,C3,Danceability / Speechiness / Valence
Rodeo,"Lil s X, Cardi B",0.10629987009357282,0.23052395271518888,-0.02241156260647932,-0.8005819682290368,-0.38613499332004864,-0.1513962023033052,0.6569915762971738,7,C7,Danceability / Loudness / Valence
Adan y Eva,Paulo Londra,0.5498080592537836,0.4167482720951057,1.9060499584191142,2.1520703483596937,0.38933982887743646,-0.1513962023033052,0.9355983480477792,3,C3,Danceability / Speechiness / Valence
Contra La Pared,"Sean Paul, J Balvin",0.9933162484139936,-0.3343564827372275,1.9051320575858646,0.03470783185856444,-0.9045230538107587,-0.1513962023033052,0.39607412338787623,5,C5,Danceability / Loudness / Valence
